日期,投诉类型,本周数量,上周数量
2025-07-14,支付成功未出票,42,38
2025-07-14,酒店服务质量,89,152
2025-07-14,退改政策争议,45,148
2025-07-14,价格差异,32,135
2025-07-14,系统故障,18,121
2025-07-14,客服响应慢,12,115
2025-07-15,支付成功未出票,48,41
2025-07-15,酒店服务质量,112,161
2025-07-15,退改政策争议,52,155
2025-07-15,价格差异,38,142
2025-07-15,系统故障,22,124
2025-07-15,客服响应慢,15,118
2025-07-16,支付成功未出票,55,49
2025-07-16,酒店服务质量,145,178
2025-07-16,退改政策争议,62,168
2025-07-16,价格差异,45,152
2025-07-16,系统故障,26,128
2025-07-16,客服响应慢,18,122
2025-07-17,支付成功未出票,63,52
2025-07-17,酒店服务质量,189,189
2025-07-17,退改政策争议,71,178
2025-07-17,价格差异,52,158
2025-07-17,系统故障,31,132
2025-07-17,客服响应慢,22,125
2025-07-18,支付成功未出票,71,58
2025-07-18,酒店服务质量,218,195
2025-07-18,退改政策争议,82,188
2025-07-18,价格差异,58,165
2025-07-18,系统故障,35,135
2025-07-18,客服响应慢,25,128
2025-07-19,支付成功未出票,68,55
2025-07-19,酒店服务质量,176,182
2025-07-19,退改政策争议,75,181
2025-07-19,价格差异,54,161
2025-07-19,系统故障,29,131
2025-07-19,客服响应慢,21,124
2025-07-20,支付成功未出票,59,51
2025-07-20,酒店服务质量,154,171
2025-07-20,退改政策争议,68,174
2025-07-20,价格差异,49,156
2025-07-20,系统故障,26,129
2025-07-20,客服响应慢,19,122